customer_id,year,month_name,description,category_parent,category_child,priority,performer_position,work_label,L,label_a,label_b,agreed,consensus
185,2023,Октябрь,нет тепла трехкомнатная квартира только в одной комнате тепло,,Не определена,Срочно,,UNDEFINED,61,Отопление,Отопление,True,Отопление
328,2025,Декабрь,урна предподъездная нет дна,,Не определена,Низкий,Электрогазосварщик,UNDEFINED,27,Уборка уличная,Уборка уличная,True,Уборка уличная
260,2023,Октябрь,"часик не работает
ниче не хочу",,Не определена,Срочно,Мастер,UNDEFINED,30,НЕЯСНО,НЕЯСНО,True,НЕЯСНО
328,2026,Январь,на со слов заявителя на двери выхода на крышу выломали дверь холод заходит в подъезд просят сделать двери закрыть их,,Не определена,Низкий,АДС,UNDEFINED,116,Крыша,Крыша,True,Крыша
185,2024,Октябрь,"значит нам полчаса назад дали тепло
На Кухне И В Спальне Отключили Тепло Почему У Нас Очень Холодно Невозможно Спать Невозможно Ничего Делать",,Не определена,Срочно,,UNDEFINED,141,Отопление,Отопление,True,Отопление
185,2023,Октябрь,"у нас случилось дали тепло у нас его нет
пусть внимательно ремонтируют",,Не определена,Срочно,,UNDEFINED,70,Отопление,Отопление,True,Отопление
185,2024,Октябрь,"завоздушенность
да серра с утра приезжали и посмотрели у них не оказалось ключей от подвала и они уехали ничего не сказал все",,Не определена,Срочно,,UNDEFINED,125,Отопление,Отопление,True,Отопление
260,2026,Январь,необходимо убрать дворовую территорию от снега,,Не определена,Срочно,Мастер ПМК - 35,UNDEFINED,46,Уборка уличная,Уборка уличная,True,Уборка уличная
328,2021,Декабрь,"Нужно  поставит  кран ,на кухне",,Не определена,Средний,Слесарь АДС,UNDEFINED,31,Ремонт,Ремонт,True,Ремонт
185,2024,Февраль,под э так в первом подъезде,,Не определена,Срочно,,UNDEFINED,27,Электроснабжение,НЕЯСНО,False,DISPUTED
328,2025,Октябрь,я хотел нужен че непонятно говорю,,Не определена,Низкий,Диспетчер АДС,UNDEFINED,33,НЕЯСНО,НЕЯСНО,True,НЕЯСНО
328,2024,Август,заявка двадцать девять триста два что с ней,,Не определена,Низкий,Диспетчер АДС,UNDEFINED,43,Иное,НЕЯСНО,False,DISPUTED
185,2023,Ноябрь,случилось то что нет тепла я уже звонила вчера звонила так ничего и нет нет тепла в одной комнате в кухне,,Не определена,Срочно,,UNDEFINED,105,Отопление,Отопление,True,Отопление
260,2026,Февраль,срочно почистить придомовую территорию от снега,,Не определена,Срочно,Мастер ПМК - 35,UNDEFINED,47,Уборка уличная,Уборка уличная,True,Уборка уличная
260,2026,Февраль,расчистить территорию дворова снега и убрать снег с крыши где у подъезда,,Не определена,Срочно,Мастер ПМК - 35,UNDEFINED,72,Уборка уличная,Уборка уличная,True,Уборка уличная
185,2021,Июль,Нанесение повреждений потолочному покрытию сквозное в другую квартиру с повреждением канализационной системы,,Не определена,Срочно,сл.сантехник,UNDEFINED,108,Водоотведение,Водоотведение,True,Водоотведение
328,2025,Октябрь,здравствуйте я бы хотел узнать как мне передать показания счетчика холодной воды и куда это,,Не определена,Низкий,Диспетчер АДС,UNDEFINED,91,ХВС,ХВС,True,ХВС
260,2025,Декабрь,кто то все время какает в подъезде сегодня опять,,Не определена,Срочно,диспетчер,UNDEFINED,48,Уборка внутренняя,Уборка внутренняя,True,Уборка внутренняя
185,2021,Сентябрь,В нашем подъезде есть тепло а у меня в квартире на пятом этаже тепла Нет нужно выпустить воздух в ванной на пятом этаже,,Не определена,Срочно,,UNDEFINED,119,Отопление,Отопление,True,Отопление
185,2022,Сентябрь,"срочно вы меня сейчас зовите соседей в тикет 
 
батареики затопите соседей",,Не определена,Срочно,,UNDEFINED,74,Отопление,Отопление,True,Отопление
328,2024,Октябрь,утечка инвестиционных труп в подвале,,Не определена,Низкий,Диспетчер АДС,UNDEFINED,36,Водоснабжение,Водоснабжение,True,Водоснабжение
185,2021,Сентябрь,В доме было тепло Мы продули сейчас опять тепла нету,,Не определена,Срочно,,UNDEFINED,52,Отопление,Отопление,True,Отопление
260,2026,Март,с крыши упали ледины почти на человека,,Не определена,Срочно,диспетчер,UNDEFINED,38,Крыша,Крыша,True,Крыша
260,2025,Сентябрь,левичева тринадцать левичева пятнадцать левичева семнадцать герцена тринадцать после смены столбов детки api из столбы оставлены просьба убрать мусор,,Не определена,Средний,Мастер ПМК - 35,UNDEFINED,149,Иное,Уборка уличная,False,DISPUTED
185,2023,Август,"затопило
это не по заявке то срочно приехать",,Не определена,Срочно,,UNDEFINED,44,Иное,Водоотведение,False,DISPUTED
185,2024,Январь,так вот нам приходят письма мы живем на втором этаже дом двухэтажный чтобы мы сняли козырек,,Не определена,Срочно,,UNDEFINED,91,Иное,Иное,True,Иное
185,2025,Июнь,на девятом этаже закрыт вход на крышу там упала птица попала птица ей никак не выбраться уже второй день она там кричит бессильно необходима помощь скрыть замок и выпустить птицу,,Не определена,Срочно,,UNDEFINED,178,Иное,Крыша,False,DISPUTED
185,2021,Август,Не с оператором связаться с ним пообщаться,,Не определена,Срочно,,UNDEFINED,42,НЕЯСНО,НЕЯСНО,True,НЕЯСНО
260,2026,Январь,"не убран снег
срочно убрать снег",,Не определена,Срочно,Мастер ПМК - 35,UNDEFINED,32,Уборка уличная,Уборка уличная,True,Уборка уличная
328,2025,Июль,помойку не убирают потому что видите ли контейнер сломан она уже три недели здесь тухнет вонище стоит неимоверное черви уже ползают крысы развелись табунами ходят вы ждете чтобы я позвонила губернатору в конце то концов когда это закончится они говорят контейнеров нет,,Не определена,Низкий,Мастер участка,UNDEFINED,268,Уборка уличная,Уборка уличная,True,Уборка уличная
185,2022,Сентябрь,что случилось ты планет со вчерашнего дня я вам ещё раз говорю,,Не определена,Срочно,,UNDEFINED,62,НЕЯСНО,НЕЯСНО,True,НЕЯСНО
185,2022,Сентябрь,нет тепла ванны маленькая комнате на кухне,,Не определена,Срочно,,UNDEFINED,42,Отопление,Отопление,True,Отопление
185,2023,Май,а вот у нас случилось было это самое полилось мы звони не это слышать вас,,Не определена,Срочно,,UNDEFINED,73,Водоснабжение,НЕЯСНО,False,DISPUTED
185,2022,Август,"в квартире этажом ниже получается 
 жизнь",,Не определена,Срочно,,UNDEFINED,41,НЕЯСНО,НЕЯСНО,True,НЕЯСНО
328,2023,Октябрь,"ну я уже как бы оставляла заявку мне сказали ее номер девятнадцать тысяч восемьсот тридцать один я хотела бы выяснить придут ли сегодня налаживать тепло
да хочу добавить номер телефона",,Не определена,Низкий,Диспетчер АДС,UNDEFINED,184,Отопление,Отопление,True,Отопление
328,2022,Ноябрь,Ремонт придомовой территории (ямочный ремонт),,Не определена,Средний,диспетчер АДС,UNDEFINED,45,Ремонт,Ремонт,True,Ремонт
328,2023,Октябрь,я сегодня уже два раза оставляла заявку сколько еще треде будем оставлять,,Не определена,Низкий,Диспетчер АДС,UNDEFINED,73,НЕЯСНО,НЕЯСНО,True,НЕЯСНО
260,2026,Март,Можайского . 19 - 2    .у нас затоплен теплоузел,,Не определена,Срочно,Мастер,UNDEFINED,48,Отопление,Отопление,True,Отопление
260,2026,Февраль,уборка снега не производится во дворе,,Не определена,Срочно,Мастер ПМК - 35,UNDEFINED,37,Уборка уличная,Уборка уличная,True,Уборка уличная
328,2024,Январь,я с кем разговариваю с роботом или с человеком,,Не определена,Низкий,Диспетчер АДС,UNDEFINED,46,НЕЯСНО,НЕЯСНО,True,НЕЯСНО
260,2025,Август,"натечка кровли
хочу с человеком поговорить",,Не определена,Срочно,Мастер,UNDEFINED,42,Крыша,Крыша,True,Крыша
260,2025,Январь,в вентиляционный блок выпал из стены,,Не определена,Срочно,Трубочист,UNDEFINED,36,Вентиляция,Вентиляция,True,Вентиляция
